Year,FP.CPI.TOTL.ZG
2023,
2022,9.69681899081073
2021,2.18032278088147
2020,2.54314685681652
2019,1.76011151192938
2018,0.460985642464282
2017,1.3181531484778
2016,0.837284942557434
2015,0.13521193363526
2014,-1.09025507446895
2013,0.710245486695272
2012,1.41822871177844
2011,3.40322829786971
2010,1.22868119673341
2009,-2.24802147855337
2008,7.34720236578404
2007,5.85330428467687
2006,2.1122858387711
2005,1.71133325855503
2004,0.51478178102298
2003,-0.0519970242714378
2002,2.33730187454302
2001,2.9745008391957
2000,0.731981981981609
1999,0.827250608272509
1998,1.15678070391341
1997,1.75316478097235
1996,2.75430663482409
1995,7.86400784570111
1994,32.2936668569551
1993,-0.586434615120184
1992,-0.109942967085646
1991,-1.75355690199309
1990,0.325098630183258
1989,0.447309340771316
1988,-1.82668225079295
1987,-4.14072378633809
1986,6.18477854456934
1985,13.0000576159794
1984,11.7840274796329
1983,11.6169845681475
1982,17.3763852168922
1981,5.91319372031626
1980,8.72902766072327
1979,9.65335985257029
1978,3.41965105587522
1977,11.3405856371037
1976,1.08309218710663
1975,31.6534233153685
1974,16.6010915093494
